sample,canonical,decoy
BGISEQ500_LAB01_Father_REP01,2501132529,18383062
BGISEQ500_LAB01_Mother_REP01,2348827215,14525282
BGISEQ500_LAB01_Son_REP01,2358866240,18466388
Genapsys_LAB01_Son_REP01,10271649,100679
HiSeq2500_LAB01_Father_REP01,888258009,8878276
HiSeq2500_LAB01_Mother_REP01,1035510237,8547476
HiSeq2500_LAB01_Son_REP01,872394551,8038298
HiSeq2500_LAB01_Son_REP02,831604511,8772251
HiSeq2500_LAB01_Son_REP03,985376941,9888506
HiSeq2500_LAB02_Father_REP01,734599003,7407555
HiSeq2500_LAB02_Mother_REP01,772920346,6522417
HiSeq2500_LAB02_Son_REP01,756698694,7242129
HiSeq2500_LAB02_Son_REP02,749091921,8455867
HiSeq2500_LAB02_Son_REP03,423058930,3738061
HiSeq2500_LAB03_Father_REP01,903798034,9042573
HiSeq2500_LAB03_Mother_REP01,895019934,7419173
HiSeq2500_LAB03_Son_REP01,678828902,6082366
HiSeq2500_LAB03_Son_REP02,904968041,9951701
HiSeq2500_LAB03_Son_REP03,827512767,8343473
HiSeq4000_LAB01_Father_REP01,653905581,7313006
HiSeq4000_LAB01_Mother_REP01,671350335,6659564
HiSeq4000_LAB01_Son_REP01,604352943,5995695
HiSeq4000_LAB01_Son_REP02,647694777,7013012
HiSeq4000_LAB01_Son_REP03,671371263,6863370
HiSeq4000_LAB02_Father_REP01,1171551922,11065386
HiSeq4000_LAB02_Mother_REP01,1442250643,11764462
HiSeq4000_LAB02_Son_REP01,755096754,6562936
HiSeq4000_LAB02_Son_REP02,978383892,9931574
HiSeq4000_LAB02_Son_REP03,1108994295,11038664
HiSeq4000_LAB03_Father_REP01,1232583867,11988309
HiSeq4000_LAB03_Mother_REP01,1424794980,11085927
HiSeq4000_LAB03_Son_REP01,760753560,6991208
HiSeq4000_LAB03_Son_REP02,1065865778,10669060
HiSeq4000_LAB03_Son_REP03,1150653497,12185229
HiSeqX10_LAB01_Father_REP01,961802509,9434631
HiSeqX10_LAB01_Mother_REP01,959829299,7915434
HiSeqX10_LAB01_Son_REP01,960776790,9999766
HiSeqX10_LAB01_Son_REP02,960225451,10584228
HiSeqX10_LAB01_Son_REP03,949836662,9265644
HiSeqX10_LAB02_Father_REP01,879353669,8513889
HiSeqX10_LAB02_Mother_REP01,817945602,6745120
HiSeqX10_LAB02_Son_REP01,880852609,8306749
HiSeqX10_LAB02_Son_REP02,882648628,8997944
HiSeqX10_LAB02_Son_REP03,895718650,9465181
HiSeqX10_LAB03_Father_REP01,894456208,8854035
HiSeqX10_LAB03_Mother_REP01,855991611,7015908
HiSeqX10_LAB03_Son_REP01,924252353,9215667
HiSeqX10_LAB03_Son_REP02,894415098,9679972
HiSeqX10_LAB03_Son_REP03,923672227,8736109
MGISEQ2000_LAB01_Father_REP01,1363295570,8631258
MGISEQ2000_LAB01_Mother_REP01,1377646529,6303453
MGISEQ2000_LAB01_Mother_REP02,1273892815,7266141
MGISEQ2000_LAB01_Son_REP01,1444915493,9686061
NovaSeq2x150_LAB01_Father_REP01,1385543251,13291198
NovaSeq2x150_LAB01_Mother_REP01,1251473927,10007957
NovaSeq2x150_LAB01_Son_REP01,1177051366,11704597
NovaSeq2x150_LAB02_Father_REP01,880324763,8857191
NovaSeq2x150_LAB02_Mother_REP01,769488887,6464742
NovaSeq2x150_LAB02_Son_REP01,884458790,9566111
NovaSeq2x250_LAB02_Father_REP01,530669913,5333087
NovaSeq2x250_LAB02_Mother_REP01,601461779,4972067
NovaSeq2x250_LAB02_Son_REP01,718447587,7761591
Proton_LAB01_Father_REP01,42356992,11244
Proton_LAB01_Father_REP02,39801460,10651
Proton_LAB01_Father_REP03,23510551,4023
Proton_LAB01_Mother_REP01,50873722,14168
Proton_LAB01_Mother_REP02,36734194,6616
Proton_LAB01_Mother_REP03,61403763,7883
Proton_LAB01_Son_REP01,47753867,13819
Proton_LAB01_Son_REP02,28429824,5710
Proton_LAB02_Father_REP01,52420769,11769
Proton_LAB02_Father_REP02,25568248,6008
Proton_LAB02_Father_REP03,45644572,9759
Proton_LAB02_Mother_REP01,30222429,6037
Proton_LAB02_Mother_REP02,34217527,11450
Proton_LAB02_Mother_REP03,91750089,53431
Proton_LAB02_Son_REP01,34193256,10662
Proton_LAB02_Son_REP02,39838367,18706
Proton_LAB02_Son_REP03,47790787,12298
S5_LAB01_Father_REP01,38688664,10659
S5_LAB01_Father_REP02,32691980,10510
S5_LAB01_Father_REP03,33234092,5794
S5_LAB01_Mother_REP01,42684262,12824
S5_LAB01_Mother_REP02,30813164,7131
S5_LAB01_Mother_REP03,39618594,8035
S5_LAB01_Son_REP01,43258218,14378
S5_LAB01_Son_REP02,34791852,7214
S5_LAB01_Son_REP03,84303911,10468
PacBio_CCS_10kb,9190494,149730
PacBio_CCS_15kb_20kb_chemistry2,12019840,532365
PacBio_SequelII_CCS_11kb,9028142,288782
PromethION_LAB02_Son_REP01,1672366,89088
PromethION_LAB03_Son_REP01,46610234,1364458
Flongle_LAB01_Son_REP01,17571,386
MinION_LAB01_Son_REP01,95314,2414
